month,Weekday,AvgRevenue,AvgTransaction,AvgCustomer,AvgItemsPerTransaction
6,1,272500.0,5.0,3.5,1.26
6,2,330000.0,6.5,4.0,1.12
6,3,175000.0,2.5,2.5,1.65
6,4,197000.0,3.6,2.8,1.08
6,5,577000.0,8.8,4.8,1.2
6,6,262500.0,3.5,2.5,1.27
6,7,70000.0,1.0,0.25,1.0
7,1,364000.0,5.0,4.2,1.34
7,2,328750.0,6.5,3.25,1.23
7,3,445000.0,5.75,4.25,1.22
7,4,506250.0,7.5,5.75,1.17
7,5,441250.0,6.5,3.75,1.37
7,6,228000.0,3.6,3.4,1.07
7,7,0.0,0.0,0.0,
8,1,248750.0,4.25,3.25,1.11
8,2,783000.0,12.0,7.8,1.37
8,3,244000.0,2.4,2.0,1.8
8,4,424000.0,6.2,4.4,1.46
8,5,356250.0,5.25,4.25,1.19
8,6,462500.0,6.25,4.5,1.53
8,7,0.0,0.0,0.0,